date,ping,download,upload,server
2015-09-03 08:09:08,126.4,31.699,5.22,speedtest05.suddenlink.net
2015-09-03 09:09:66,118.6,23.16,5.257,speed.ecpi.com
2015-09-03 09:09:65,86.9,32.195,6.043,aus.speedtest.sbcglobal.net
2015-09-03 10:09:75,116.4,29.69,5.265,speed.ecpi.com
2015-09-03 10:09:66,139.2,27.496,5.194,speed.ecpi.com
2015-09-03 11:09:91,108.4,36.807,5.876,aus.speedtest.sbcglobal.net
2015-09-03 11:09:03,96,35.818,5.855,aus.speedtest.sbcglobal.net
2015-09-03 12:09:28,106.1,30.156,5.724,aus.speedtest.sbcglobal.net
2015-09-03 12:09:86,105.9,28.448,5.296,speedtest05.suddenlink.net
2015-09-03 13:09:52,117,27.608,5.589,speed.ecpi.com
2015-09-03 13:09:62,114.9,29.583,5.371,speed.ecpi.com
2015-09-03 14:09:16,122,27.331,5.666,speed.ecpi.com
2015-09-03 14:09:52,89.7,32.724,5.646,aus.speedtest.sbcglobal.net
2015-09-03 15:09:23,114.7,27.706,5.174,speed.ecpi.com
2015-09-03 15:09:60,103.6,14.563,5.335,aus.speedtest.sbcglobal.net
2015-09-03 16:09:05,97.1,34.116,5.283,aus.speedtest.sbcglobal.net
2015-09-03 16:09:64,104.9,31.172,5.281,aus.speedtest.sbcglobal.net
2015-09-03 17:09:74,111.4,25.472,5.008,speed.ecpi.com
2015-09-03 17:09:39,113.5,28.546,5.34,speed.ecpi.com
2015-09-03 18:09:77,129.9,26.492,5.142,austx-speedtest-01-a.texas.rr.com
2015-09-03 18:09:44,112.8,35.312,5.807,aus.speedtest.sbcglobal.net
2015-09-03 19:09:28,114.8,24.995,5.652,speed.ecpi.com
2015-09-03 19:09:58,96.7,31.89,5.863,aus.speedtest.sbcglobal.net
2015-09-03 20:09:05,105.4,32.305,5.542,aus.speedtest.sbcglobal.net
2015-09-03 20:09:01,102.7,28.786,5.54,aus.speedtest.sbcglobal.net
2015-09-03 21:09:71,109.6,9.111,4.588,aus.speedtest.sbcglobal.net
2015-09-03 21:09:61,89.1,10.531,4.502,aus.speedtest.sbcglobal.net
2015-09-03 22:09:03,102.9,28.36,5.45,aus.speedtest.sbcglobal.net
2015-09-03 22:09:78,93.2,13.77,3.562,aus.speedtest.sbcglobal.net
2015-09-03 23:09:51,98.3,30.685,5.417,aus.speedtest.sbcglobal.net
2015-09-03 23:09:63,98.4,32.259,5.367,aus.speedtest.sbcglobal.net
2015-09-04 00:09:22,92.4,34.035,5.479,aus.speedtest.sbcglobal.net
2015-09-04 00:09:49,96.7,35.916,5.636,aus.speedtest.sbcglobal.net
2015-09-04 01:09:46,112.1,34.317,5.274,aus.speedtest.sbcglobal.net
2015-09-04 01:09:52,101.3,33.058,5.606,aus.speedtest.sbcglobal.net
2015-09-04 02:09:93,123.1,27.821,5.503,aus-speedtest.grandecom.net
2015-09-04 02:09:97,110.3,31.051,5.261,speedtest05.suddenlink.net
2015-09-04 03:09:02,108.4,33.33,5.134,speedtest05.suddenlink.net
2015-09-04 03:09:79,109.2,25.946,4.822,aus-speedtest.grandecom.net
2015-09-04 04:09:63,109.3,32.005,5.701,aus.speedtest.sbcglobal.net
2015-09-04 04:09:14,110.7,25.987,4.986,speed.ecpi.com
2015-09-04 05:09:15,117,25.229,5.289,speedtest05.suddenlink.net
2015-09-04 05:09:23,101.5,26.558,5.438,aus.speedtest.sbcglobal.net
2015-09-04 06:09:28,96.4,33.11,5.43,aus.speedtest.sbcglobal.net
